Date,Region,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Cost of Goods Sold (COGS),Average Inventory,Warehouse Capacity,inventory_status,inventory_turnover,lead_time_category,cost_per_unit,warehouse_utilization,warehouse_risk,backorder_flag
2020-01-14,North,Accessories,Supplier A,Warehouse 1,Fulfilled,302,2124,1103.838324,True,9,False,37820.0524,2048.0,5037,Overstock,0.1474609375,Medium,3.6550937880794705,0.40659122493547745,Optimal,0
2020-11-15,East,Furniture,Supplier D,Warehouse 2,Fulfilled,741,1972,13163.00766,True,11,False,54396.17369,1213.0,9216,Overstock,0.6108821104699094,Medium,17.763842995951418,0.1316189236111111,Under Utilized,0
2020-04-16,East,Furniture,Supplier C,Warehouse 2,Fulfilled,940,454,9872.294126,True,17,False,24217.45462,1160.5,7699,Understock,0.8099956915122792,Slow,10.502440559574469,0.1507338615404598,Under Utilized,0
2020-04-17,South,Accessories,Supplier D,Warehouse 2,Canceled,589,1867,4547.589932,True,3,False,38919.08005,3364.5,9271,Understock,0.17506315945905782,Fast,7.720865758913412,0.3629058354007119,Under Utilized,0
2020-04-18,North,Accessories,Supplier C,Warehouse 2,Fulfilled,964,4862,11994.04231,True,21,False,59204.50683,3063.0,5828,Overstock,0.3147241266731962,Slow,12.44195260373444,0.5255662319835278,Optimal,0
2020-04-19,South,Electronics,Supplier A,Warehouse 1,Canceled,338,1264,6220.991375,False,15,False,55736.88744,1104.5,8292,Overstock,0.3060208239022182,Slow,18.4052999260355,0.13320067534973468,Under Utilized,0
2020-04-20,West,Furniture,Supplier A,Warehouse 2,Pending,748,945,14023.27556,True,7,False,139260.8377,929.0,5073,Overstock,0.8051668460710442,Fast,18.747694598930483,0.18312635521387738,Under Utilized,0
2020-04-21,North,Accessories,Supplier C,Warehouse 1,Canceled,909,913,1556.256814,True,25,False,35640.52177,2204.0,9860,Understock,0.41243194192377497,Slow,1.7120537007700771,0.2235294117647059,Under Utilized,0
2020-04-22,East,Clothing,Supplier C,Warehouse 3,Fulfilled,781,3495,4933.463849,True,8,False,73883.09071,3481.0,8375,Overstock,0.22436081585751222,Medium,6.316855120358515,0.4156417910447761,Optimal,0
2020-04-23,East,Clothing,Supplier A,Warehouse 1,Fulfilled,488,3467,12041.4938,True,21,False,52012.68962,4067.5,8594,Understock,0.11997541487400123,Slow,24.675192213114755,0.4732953223178962,Optimal,0
2020-04-24,West,Clothing,Supplier D,Warehouse 3,Fulfilled,125,4668,6126.847877,True,21,False,2726.657395,3947.5,7684,Overstock,0.031665611146295125,Slow,49.014783016,0.5137298282144717,Optimal,0
2020-04-25,East,Furniture,Supplier A,Warehouse 1,Fulfilled,899,3227,12221.18843,True,4,False,127779.9529,2414.5,9035,Overstock,0.3723338165251605,Fast,13.594202925472748,0.2672385168788046,Under Utilized,0
2020-04-26,North,Accessories,Supplier D,Warehouse 1,Fulfilled,324,1602,5705.511137,True,27,False,63107.38981,1005.5,8116,Overstock,0.32222774738935855,Slow,17.60960227469136,0.12389107934943322,Under Utilized,0
2020-04-27,West,Clothing,Supplier A,Warehouse 3,Fulfilled,551,409,8615.902821,True,9,False,57150.95856,598.0,6886,Understock,0.9214046822742475,Medium,15.636847225045372,0.08684286959047342,Under Utilized,0
2020-04-28,West,Clothing,Supplier C,Warehouse 3,Fulfilled,489,787,11076.52401,True,8,False,66378.00252,1039.0,9727,Understock,0.4706448508180943,Medium,22.65137834355828,0.10681607895548473,Under Utilized,0
2020-04-29,West,Electronics,Supplier A,Warehouse 2,Pending,712,1291,1450.896553,True,16,True,24683.75549,1881.0,5119,Understock,0.37852206273258904,Slow,2.03777605758427,0.3674545809728463,Under Utilized,1
2020-04-30,West,Clothing,Supplier D,Warehouse 2,Fulfilled,775,2471,2671.768409,True,10,False,23900.74084,3462.5,8953,Understock,0.22382671480144403,Medium,3.4474431083870964,0.386741874232101,Under Utilized,0
2020-05-01,West,Clothing,Supplier D,Warehouse 2,Fulfilled,936,4454,8057.019011,True,26,True,108960.3785,2754.0,7941,Overstock,0.33986928104575165,Slow,8.60792629380342,0.3468077068379297,Under Utilized,1
2020-05-02,West,Electronics,Supplier A,Warehouse 2,Fulfilled,988,1054,8990.638756,True,7,False,130014.8053,652.5,8128,Overstock,1.514176245210728,Fast,9.09983679757085,0.08027805118110236,Under Utilized,0
2020-05-03,South,Clothing,Supplier C,Warehouse 3,Canceled,612,251,6719.324913,True,6,False,40211.04778,1969.0,9397,Understock,0.31081767394616555,Fast,10.979289073529412,0.20953495796530808,Under Utilized,0
2020-05-04,East,Accessories,Supplier A,Warehouse 3,Fulfilled,754,3687,6426.784561,True,5,False,54971.19278,3672.0,8356,Overstock,0.2053376906318083,Fast,8.523586950928383,0.43944471038774535,Optimal,0
2020-05-05,East,Electronics,Supplier D,Warehouse 2,Fulfilled,282,3657,6851.316047,True,21,False,46598.2109,3170.0,6195,Overstock,0.08895899053627761,Slow,24.295446975177306,0.5117029862792575,Optimal,0
2020-05-06,West,Accessories,Supplier C,Warehouse 3,Fulfilled,777,2683,3371.043939,True,23,False,76184.13983,3577.5,9094,Understock,0.2171907756813417,Slow,4.3385378880308885,0.3933912469760282,Under Utilized,0
2020-05-07,East,Furniture,Supplier D,Warehouse 3,Fulfilled,477,4472,6748.64938,True,12,False,24996.34935,3671.0,6178,Overstock,0.12993734677199673,Medium,14.148111907756814,0.5942052444156685,Optimal,0
2020-05-08,East,Accessories,Supplier A,Warehouse 1,Pending,606,2870,13437.44978,False,19,False,28876.71182,3891.0,8399,Understock,0.15574402467232074,Slow,22.174009537953797,0.46326943683771876,Optimal,0
2020-05-09,North,Clothing,Supplier C,Warehouse 3,Pending,423,4912,3248.554874,True,13,False,79226.47623,4494.0,5993,Overstock,0.09412550066755675,Medium,7.679798756501182,0.749874853996329,Optimal,0
2020-05-10,East,Accessories,Supplier A,Warehouse 2,Fulfilled,63,4076,11003.60216,True,5,False,8603.620577,3084.5,6145,Overstock,0.020424704165991247,Fast,174.66035174603175,0.5019528071602929,Optimal,0
2020-05-11,East,Accessories,Supplier D,Warehouse 2,Fulfilled,799,2093,4314.660434,True,15,False,39045.0225,1258.5,5460,Overstock,0.6348827969805324,Slow,5.400075637046308,0.2304945054945055,Under Utilized,0
2020-05-12,East,Accessories,Supplier B,Warehouse 3,Fulfilled,587,424,7714.175082,True,20,False,43435.24314,1866.5,9462,Understock,0.31449236538976694,Slow,13.141695199318569,0.19726273515113085,Under Utilized,0
2020-05-13,West,Accessories,Supplier C,Warehouse 1,Pending,358,3309,1812.196511,True,3,False,39042.15652,3242.0,8444,Overstock,0.11042566317088218,Fast,5.062001427374302,0.3839412600663193,Under Utilized,0
2020-05-14,East,Clothing,Supplier D,Warehouse 2,Fulfilled,84,3175,10612.99351,True,18,False,13657.59734,3590.0,8508,Understock,0.0233983286908078,Slow,126.34516083333334,0.421955806299953,Optimal,0
2020-05-15,East,Electronics,Supplier B,Warehouse 2,Fulfilled,196,4005,9228.729618,True,21,False,22907.49743,2698.5,5616,Overstock,0.07263294422827497,Slow,47.08535519387755,0.48050213675213677,Optimal,0
2020-05-16,South,Electronics,Supplier C,Warehouse 2,Pending,764,1392,3787.64629,True,25,False,107139.6553,3122.0,6653,Understock,0.2447149263292761,Slow,4.957652212041885,0.4692619870735007,Optimal,0
2020-05-17,North,Clothing,Supplier C,Warehouse 2,Canceled,488,4852,10326.38235,True,29,False,80063.67982,2819.5,5258,Overstock,0.17308033339244547,Slow,21.160619569672132,0.5362305058957778,Optimal,0
2020-05-18,South,Furniture,Supplier D,Warehouse 2,Fulfilled,810,787,6402.613301,True,16,False,155560.135,2025.5,8473,Understock,0.3999012589484078,Slow,7.9044608654321,0.23905346394429364,Under Utilized,0
2020-05-19,North,Accessories,Supplier A,Warehouse 2,Pending,160,3264,4210.151842,True,12,False,7001.110343,2871.5,8555,Overstock,0.05572000696500087,Medium,26.3134490125,0.33565166569257743,Under Utilized,0
2020-05-20,South,Accessories,Supplier D,Warehouse 2,Fulfilled,163,2479,9340.491388,False,5,False,17772.09256,1543.5,5993,Overstock,0.10560414642047296,Fast,57.303628147239266,0.257550475554814,Under Utilized,0
2020-05-21,South,Furniture,Supplier D,Warehouse 2,Canceled,544,608,7117.994876,True,7,False,40525.0421,2171.0,8109,Understock,0.25057577153385535,Fast,13.084549404411764,0.26772721667283267,Under Utilized,0
2020-05-22,North,Clothing,Supplier D,Warehouse 3,Fulfilled,637,3734,1504.915337,True,10,False,73669.383,4001.5,7059,Understock,0.15919030363613645,Medium,2.362504453689168,0.5668649950417907,Optimal,0
2020-05-23,West,Accessories,Supplier B,Warehouse 3,Fulfilled,880,4269,14244.01991,True,7,False,93875.84852,3315.0,8933,Overstock,0.2654600301659125,Fast,16.186386261363637,0.3710959364155379,Under Utilized,0
2020-05-24,West,Electronics,Supplier B,Warehouse 1,Fulfilled,224,2361,13981.97998,True,24,False,38461.18176,2944.5,6135,Understock,0.076074036338937,Slow,62.41955348214286,0.4799511002444988,Optimal,0
2020-05-25,West,Clothing,Supplier B,Warehouse 3,Fulfilled,419,3528,8465.232295,True,11,False,60470.18172,4024.5,6287,Understock,0.1041123120884582,Medium,20.20341836515513,0.6401304278670272,Optimal,0
2020-05-26,North,Furniture,Supplier A,Warehouse 2,Fulfilled,862,4521,12357.93224,True,18,False,44424.39863,2861.0,6275,Overstock,0.3012932541069556,Slow,14.336348306264501,0.45593625498007967,Optimal,0
2020-05-27,South,Clothing,Supplier A,Warehouse 1,Fulfilled,115,1201,6852.61894,True,19,False,7617.784585,2577.5,8045,Understock,0.0446168768186227,Slow,59.5879907826087,0.3203853325046613,Under Utilized,0
2020-05-28,North,Furniture,Supplier D,Warehouse 1,Fulfilled,899,3954,11277.76989,True,21,True,136368.7976,3328.5,5726,Overstock,0.2700916328676581,Slow,12.544794093437153,0.5812958435207825,Optimal,1
2020-05-29,West,Clothing,Supplier D,Warehouse 3,Fulfilled,416,2703,5512.025565,True,17,False,25875.5298,1610.0,9326,Overstock,0.25838509316770186,Slow,13.250061454326923,0.172635642290371,Under Utilized,0
2020-05-30,South,Accessories,Supplier B,Warehouse 1,Fulfilled,899,517,1531.105269,True,29,False,122327.7816,1933.5,5179,Understock,0.46495991724851304,Slow,1.7031204327030032,0.37333462058312417,Under Utilized,0
2020-05-31,West,Furniture,Supplier A,Warehouse 3,Pending,167,3350,4644.701006,False,24,False,26062.89251,3929.5,8868,Understock,0.04249904568011197,Slow,27.8125808742515,0.44311005863779884,Optimal,0
2020-06-01,North,Electronics,Supplier A,Warehouse 1,Fulfilled,197,4509,14603.98678,True,22,False,24967.37181,4374.5,8831,Overstock,0.04503371813921591,Slow,74.13191258883248,0.49535726418299175,Optimal,0
2020-06-02,North,Accessories,Supplier A,Warehouse 1,Pending,586,4240,11623.97542,True,28,True,33931.89301,3948.5,5873,Overstock,0.14841078890717993,Slow,19.83613552901024,0.6723139792269709,Optimal,1
2020-06-03,North,Accessories,Supplier D,Warehouse 1,Fulfilled,758,3657,11802.50374,True,21,False,70439.51289,2233.0,5467,Overstock,0.33945364979847736,Slow,15.570585408970976,0.4084507042253521,Optimal,0
2020-06-04,East,Accessories,Supplier A,Warehouse 2,Fulfilled,318,809,9952.087358,True,17,True,38176.30952,513.5,5931,Overstock,0.6192794547224927,Slow,31.295872194968556,0.08657899173832406,Under Utilized,1
2020-06-05,South,Clothing,Supplier D,Warehouse 1,Fulfilled,478,218,8105.258326,False,29,False,47059.70534,1170.0,5090,Understock,0.40854700854700854,Slow,16.95660737656904,0.22986247544204322,Under Utilized,0
2020-06-06,East,Furniture,Supplier A,Warehouse 1,Fulfilled,655,2122,4932.680969,True,6,False,22700.3245,3410.0,5683,Understock,0.19208211143695014,Fast,7.530810639694656,0.6000351926799226,Optimal,0
2020-06-07,South,Accessories,Supplier A,Warehouse 1,Fulfilled,536,4698,3412.719112,True,27,False,103533.1724,3420.0,8494,Overstock,0.1567251461988304,Slow,6.3670132686567165,0.40263715563927477,Optimal,0
